,,Level,Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015)
03455,Friesland,Landkreis,79.9,82.1,79.6,77.7,71.4,72.5,75.2,34.4,29.3,28.6,29.3,28.7,37.7,33.0,46.7,54.7,52.4,47.4,31.8,36.5,30.6,6.6,4.7,6.4,6.4,10.0,7.8,7.9,9.4,7.3,9.4,9.6,15.5,4.7,10.1,0.8,0.9,0.9,4.4,9.0,5.0,6.7,8.2,94.8,83.7,99.9,94.0,70.8,29.8,185.7,58.9,254.3,62.2,0.0,0.0,2221.8,1023.2,72.9,38.8
03456,Grafschaft Bentheim,Landkreis,82.3,84.1,81.4,79.6,73.1,73.6,76.7,43.6,39.5,41.4,42.1,41.7,50.8,44.7,40.8,47.6,44.5,39.9,28.4,30.7,28.0,4.9,4.1,5.0,5.0,7.2,5.8,6.2,8.6,6.4,7.1,8.2,13.7,4.2,8.9,0.5,0.6,0.6,3.2,6.0,3.2,4.8,5.3,96.7,83.6,101.7,98.0,24.9,11.0,115.0,27.1,72.7,0.0,0.0,0.0,2973.4,1433.5,56.2,15.5
03457,Leer,Landkreis,78.2,81.8,77.9,76.3,69.5,70.4,73.7,36.4,29.9,29.9,30.1,30.6,38.7,34.2,49.8,57.1,55.5,50.6,34.7,38.6,33.5,5.1,4.5,5.2,4.9,8.6,7.0,6.7,5.8,4.9,6.3,6.8,10.8,3.4,7.1,0.7,0.9,0.9,4.9,10.6,4.9,6.2,9.2,97.0,92.7,100.1,94.0,48.4,33.8,131.4,58.5,32.5,5.4,0.0,0.0,3226.0,1356.2,27.2,13.5
03458,Oldenburg,Landkreis,80.8,83.3,81.1,79.9,74.1,75.0,78.3,38.3,32.0,32.4,30.7,32.5,41.2,35.3,40.3,49.4,46.7,41.3,25.7,30.1,25.0,7.4,5.9,8.0,8.4,11.5,9.1,9.0,10.8,8.7,9.9,12.7,16.8,6.0,11.6,1.0,1.0,1.0,4.4,8.5,5.2,6.6,8.9,96.6,101.1,96.1,93.9,4.0,0.0,66.3,34.0,9.2,0.0,0.0,0.0,1952.6,819.4,39.5,25.6
03459,Osnabrück,Landkreis,83.4,85.0,81.9,79.8,73.8,73.7,76.5,46.4,40.6,42.3,40.6,38.9,48.3,40.8,37.0,44.6,41.6,38.0,26.5,29.5,25.7,6.1,4.9,6.2,6.6,9.4,7.7,8.4,8.1,6.9,7.8,9.6,14.5,4.3,9.4,0.6,0.7,0.7,3.2,7.2,4.0,6.1,7.0,93.4,85.2,95.8,95.4,74.8,31.5,0.0,0.0,0.0,0.0,0.0,0.0,2323.0,973.8,40.4,21.4
03460,Vechta,Landkreis,82.0,83.7,81.2,78.6,72.0,72.5,75.8,64.5,59.2,60.2,57.7,54.8,63.5,53.8,21.5,28.5,27.0,24.3,16.0,18.9,16.8,4.5,3.4,3.7,3.6,5.6,4.7,5.8,7.9,6.2,7.5,10.9,16.2,5.0,10.1,0.3,0.4,0.5,2.1,4.5,2.6,4.2,7.0,94.4,95.2,96.7,89.1,5.3,5.3,0.0,0.0,0.0,0.0,2.1,1.8,2390.8,1156.8,108.1,58.7
03461,Wesermarsch,Landkreis,78.2,81.0,77.8,74.8,68.9,67.7,71.9,31.6,26.5,26.3,27.1,30.3,36.9,33.0,51.3,58.7,57.0,52.7,33.2,38.6,32.3,5.9,4.6,6.4,5.8,9.4,7.5,7.6,8.4,6.7,7.8,7.8,12.9,4.7,9.2,0.9,0.9,0.9,4.4,10.0,5.0,6.4,8.3,92.8,83.3,96.5,93.4,44.5,23.1,16.6,3.4,57.7,6.4,0.0,0.0,2877.1,1324.4,141.5,53.8
03462,Wittmund,Landkreis,75.7,78.5,76.3,73.7,66.7,68.4,72.4,40.6,35.5,34.1,34.3,32.5,42.1,36.2,43.8,52.2,51.1,45.1,31.1,35.8,31.6,5.3,4.0,4.7,5.1,8.1,6.7,6.2,7.7,5.2,7.4,8.8,14.9,4.5,8.8,0.6,0.6,0.9,4.1,9.0,3.6,5.6,8.6,95.5,81.8,99.9,98.8,7.3,7.3,312.8,80.0,119.1,11.0,0.0,0.0,2919.4,1461.8,7.5,5.9
04011,"Bremen, Stadt",krsfr. Stadt,78.1,81.9,78.7,75.2,70.6,69.1,71.5,29.8,25.2,24.3,22.6,23.7,29.1,25.0,44.5,49.3,47.7,42.1,29.8,34.9,26.0,11.9,12.3,16.0,15.2,16.2,12.8,11.6,7.5,6.1,6.8,8.2,10.7,3.5,9.7,2.9,2.6,2.4,8.6,14.2,10.3,13.8,9.5,101.5,106.5,99.5,101.6,48.2,30.7,27.8,18.1,88.2,79.7,285.5,172.3,2903.8,1316.4,900.5,417.6
04012,"Bremerhaven, Stadt",krsfr. Stadt,73.9,77.8,74.3,70.8,63.9,63.0,63.1,31.8,26.5,25.9,23.7,25.0,30.4,25.4,49.7,54.6,52.6,47.2,32.4,39.0,30.9,7.2,6.5,10.2,9.5,11.7,8.5,7.8,5.9,5.0,6.2,7.6,10.2,2.9,7.6,1.8,1.9,1.5,7.6,14.7,9.2,11.4,12.5,96.7,83.4,99.6,102.9,109.3,62.0,44.2,20.9,187.8,115.0,30.1,12.7,4322.2,1957.9,1404.4,668.6
05111,"Düsseldorf, Stadt",krsfr. Stadt,78.3,80.8,78.9,76.7,70.5,72.7,76.0,36.1,33.0,34.0,33.9,32.1,38.8,30.4,39.9,43.4,39.1,36.0,24.2,28.2,21.2,9.7,8.5,12.1,9.6,12.6,9.6,10.0,9.6,9.2,10.8,12.5,17.9,7.6,17.6,1.5,1.7,1.6,5.3,8.6,7.0,9.2,7.9,107.1,123.7,102.2,104.8,14.7,10.4,0.0,0.0,0.0,0.0,152.5,102.9,3216.9,1460.7,1210.6,635.3
05112,"Duisburg, Stadt",krsfr. Stadt,76.8,80.3,75.3,73.2,63.9,66.5,67.5,27.2,22.6,24.0,22.9,25.1,28.4,24.2,57.5,60.0,56.0,52.3,38.2,40.9,32.8,6.1,6.1,8.0,7.3,8.5,6.1,5.6,4.5,4.3,6.7,6.2,9.3,3.1,9.4,1.3,1.7,1.8,7.6,12.5,8.3,8.5,13.3,101.8,96.0,99.9,111.6,61.6,32.4,18.4,4.6,56.0,8.6,118.4,52.9,3001.9,1382.5,244.6,125.2
05113,"Essen, Stadt",krsfr. Stadt,77.4,81.2,77.1,76.5,69.0,70.6,73.3,31.1,26.7,27.9,27.6,27.2,32.9,27.3,50.6,54.2,49.3,46.7,35.0,37.3,28.3,7.3,7.4,10.1,8.3,10.3,8.2,7.6,6.9,5.9,8.2,7.8,12.3,4.6,12.6,1.3,1.6,1.5,6.4,9.7,7.1,8.2,11.4,102.2,104.9,101.0,102.6,82.2,40.7,1.8,1.8,4.1,4.1,52.0,23.9,3503.8,1501.4,343.6,157.9
05114,"Krefeld, Stadt",krsfr. Stadt,76.9,79.9,75.9,73.9,67.4,68.0,70.9,40.2,35.6,34.7,33.2,32.6,38.9,31.9,39.4,45.5,41.5,38.3,27.5,31.1,24.9,7.7,6.4,9.6,8.4,10.8,8.0,7.8,8.8,7.6,10.4,11.8,15.7,6.5,14.6,0.9,1.1,1.3,5.3,8.6,6.6,8.1,8.3,101.5,98.7,99.2,109.5,24.6,15.7,1.3,1.3,0.4,0.4,0.4,0.3,4024.1,1799.2,109.8,62.6
05116,"Mönchengladbach, Stadt",krsfr. Stadt,74.6,77.6,73.5,71.5,63.2,65.4,68.7,41.6,37.4,40.8,39.0,35.0,43.7,35.8,38.7,42.5,38.0,34.5,24.5,28.1,23.3,7.2,6.5,7.7,6.2,8.9,6.2,6.2,8.9,8.4,9.9,12.1,18.0,5.9,13.7,0.9,1.1,1.1,5.3,8.3,6.4,7.4,9.5,101.8,106.5,99.9,102.2,14.3,6.5,25.2,19.7,0.9,0.0,0.1,0.0,4022.6,1840.6,60.5,38.1
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,81.7,84.4,81.1,79.8,72.9,74.3,76.9,31.4,26.9,27.8,27.9,27.3,34.5,28.4,49.6,55.3,50.8,46.6,34.2,36.9,28.3,7.2,6.1,8.8,7.8,10.3,7.6,7.4,8.2,7.2,9.3,8.8,14.3,5.1,13.9,1.0,1.2,1.3,6.2,9.3,6.5,7.7,10.6,100.5,105.0,99.3,99.4,21.8,17.9,0.9,0.9,35.9,35.9,8.4,4.3,2261.8,1064.8,211.9,94.2
05119,"Oberhausen, Stadt",krsfr. Stadt,78.2,80.8,76.4,75.7,67.6,68.4,71.3,27.9,23.0,23.9,22.9,24.1,29.6,26.0,57.9,62.1,57.2,54.2,39.5,41.7,33.4,5.6,5.8,7.6,6.7,8.9,6.5,5.2,4.7,3.7,6.8,6.1,10.0,3.1,9.5,1.1,1.3,1.5,6.9,11.6,8.1,8.3,13.1,98.3,91.7,99.6,101.2,43.9,29.3,4.4,4.4,66.7,66.7,0.0,0.0,3520.9,1673.9,326.4,122.4
05120,"Remscheid, Stadt",krsfr. Stadt,77.9,80.9,76.3,74.4,68.1,68.2,71.2,35.5,31.6,34.3,32.8,32.5,40.0,31.8,42.8,46.3,42.8,39.2,27.8,30.4,25.9,6.5,6.0,7.6,6.6,8.7,6.8,6.3,10.5,9.2,11.2,12.1,15.7,5.7,13.4,1.2,1.4,1.4,6.1,9.8,7.2,7.3,10.6,99.2,92.7,99.8,103.5,66.4,19.0,28.2,28.2,37.5,37.5,0.0,0.0,3292.9,1276.0,498.6,217.4
05122,"Solingen, Stadt",krsfr. Stadt,79.0,81.3,77.9,76.1,69.3,70.1,72.1,36.3,33.1,34.6,32.8,31.5,38.4,31.4,40.4,44.3,40.7,38.1,26.2,30.2,24.8,7.0,6.4,8.9,7.1,10.6,8.3,7.5,11.4,9.6,11.5,13.1,16.7,6.2,14.4,1.4,1.4,1.4,5.7,9.4,6.7,8.1,9.7,101.6,101.5,100.1,104.8,91.5,70.3,9.6,9.6,88.0,88.0,0.0,0.0,3131.4,1281.9,27.4,17.7
05124,"Wuppertal, Stadt",krsfr. Stadt,78.6,81.5,77.0,75.2,67.3,68.7,72.5,34.0,29.0,30.5,29.4,29.2,33.9,27.3,42.9,47.4,42.5,40.0,27.2,32.1,25.8,8.9,8.4,11.3,9.2,12.7,9.9,8.5,8.9,8.5,10.7,10.9,14.0,5.8,12.8,1.5,1.7,2.0,6.8,11.2,8.3,10.4,10.8,104.8,97.2,100.8,121.4,104.4,63.5,8.1,8.1,13.1,13.1,30.1,15.5,3483.0,1492.8,294.3,149.4
05154,Kleve,Landkreis,80.5,82.9,79.4,76.8,69.3,70.9,74.2,47.8,43.6,44.3,44.4,42.2,48.6,41.6,36.6,40.2,37.1,33.1,23.5,27.0,23.5,5.6,5.2,6.3,5.6,7.9,6.2,6.0,7.5,7.5,9.5,10.7,16.1,5.7,13.5,0.5,0.8,0.8,3.8,6.1,4.6,5.6,6.9,97.8,93.7,99.2,98.2,27.9,18.7,0.0,0.0,0.0,0.0,1.1,0.1,2535.9,1195.5,19.3,10.5
05158,Mettmann,Landkreis,81.6,84.4,81.5,79.2,72.6,74.0,77.0,38.9,34.5,36.7,36.6,34.4,42.2,33.4,39.7,44.6,40.3,37.1,25.7,29.4,23.7,7.4,6.1,8.3,6.8,9.9,7.3,7.2,10.1,9.5,11.1,12.1,17.6,6.2,16.0,1.0,1.2,1.1,4.7,7.5,5.3,6.6,9.5,102.6,111.6,99.7,101.9,53.9,28.1,0.0,0.0,0.0,0.0,0.1,0.1,2743.6,1383.5,82.7,34.6
05162,Rhein-Kreis Neuss,Landkreis,81.6,84.0,81.4,78.7,72.1,73.9,76.6,44.2,40.2,41.6,41.5,38.0,46.9,37.0,36.5,39.9,36.2,32.7,23.0,26.2,21.9,6.4,5.6,7.4,6.2,8.3,6.2,6.4,9.3,9.4,11.3,13.0,19.4,7.0,16.8,0.8,1.0,0.9,3.8,6.1,4.7,5.8,8.6,102.0,111.0,99.9,99.3,21.2,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2275.8,1035.2,41.0,14.7
05166,Viersen,Landkreis,79.9,82.6,79.8,77.5,71.4,72.8,75.6,44.3,38.8,40.7,39.7,37.9,46.3,38.1,36.6,41.1,37.3,33.7,22.6,26.6,22.3,6.6,6.2,7.8,6.7,8.9,6.7,6.7,9.4,9.4,11.0,12.8,18.5,6.3,16.0,0.7,1.0,0.9,4.4,7.3,5.4,6.0,7.5,98.6,96.4,100.1,97.0,35.0,21.9,3.1,3.1,0.0,0.0,0.0,0.0,2634.6,1205.4,34.0,15.0
05170,Wesel,Landkreis,81.2,84.0,80.6,79.2,72.0,73.3,76.4,33.5,29.4,30.1,30.1,30.3,36.6,31.4,49.5,53.6,49.6,47.4,34.7,37.0,30.0,6.8,6.2,8.0,6.7,8.9,6.5,6.1,7.0,6.2,8.7,8.3,12.4,4.4,12.0,0.8,1.0,1.0,5.0,9.0,6.5,7.2,9.6,103.4,94.2,100.1,119.9,76.3,48.2,3.4,3.4,35.3,35.3,0.0,0.0,3016.5,1392.8,86.6,37.6
05314,"Bonn, Stadt",krsfr. Stadt,82.9,84.5,82.2,80.3,75.7,76.5,78.7,39.0,36.5,36.6,34.7,31.1,36.3,29.8,32.2,35.4,32.6,31.9,22.5,25.9,20.2,12.5,11.8,15.6,13.3,16.0,13.7,14.1,11.8,11.6,11.6,13.7,19.0,8.3,15.7,1.6,1.5,1.6,4.4,7.0,6.3,9.6,7.3,103.1,111.2,98.4,107.2,26.0,18.0,0.0,0.0,0.0,0.0,666.8,337.2,2715.5,1276.5,16612.9,9251.5
05315,"Köln, Stadt",krsfr. Stadt,78.0,80.7,76.7,75.9,70.0,71.9,75.4,32.3,29.4,29.0,27.2,26.9,33.0,26.4,41.9,44.5,41.7,38.1,25.7,29.8,23.0,12.2,12.5,16.5,14.9,17.9,14.1,13.6,8.9,7.9,8.9,11.5,15.6,6.0,13.8,1.7,1.6,1.9,5.8,9.0,8.1,11.5,7.2,107.9,126.6,101.4,107.8,13.6,3.8,0.0,0.0,0.0,0.0,244.6,121.8,3243.0,1530.9,1535.1,776.0
05316,"Leverkusen, Stadt",krsfr. Stadt,80.1,82.5,78.9,77.1,70.2,71.2,74.4,37.3,33.3,33.2,32.5,32.6,39.5,30.8,42.4,47.6,44.7,41.3,27.4,32.1,27.3,7.7,6.7,8.9,7.9,10.4,7.7,6.9,8.1,7.4,9.8,10.6,15.4,5.2,13.0,0.9,1.2,1.1,4.7,8.4,5.9,7.4,10.3,104.8,113.2,100.0,108.7,144.8,93.5,0.0,0.0,0.0,0.0,0.0,0.0,3603.1,1660.6,339.4,97.1
05334,Städteregion Aachen,Landkreis,81.8,83.7,79.6,77.1,70.9,72.4,76.4,40.7,34.5,34.7,33.7,32.8,38.9,29.4,39.8,45.3,41.1,37.6,26.1,30.2,30.6,8.5,8.3,11.0,9.6,11.6,9.4,8.5,7.3,7.1,9.5,10.3,14.9,5.5,12.5,1.0,1.4,1.2,6.2,9.0,7.0,7.9,7.4,101.5,98.8,100.2,107.0,78.8,41.9,15.3,15.3,0.6,0.6,956.2,486.0,3118.7,1509.8,1421.4,714.3
05358,Düren,Landkreis,81.8,83.5,79.5,76.4,71.1,71.9,75.2,44.5,38.9,39.8,38.5,37.7,44.3,34.9,40.4,45.4,41.0,37.7,25.5,29.7,29.2,5.8,5.1,6.7,5.7,7.8,6.1,5.5,6.3,6.4,9.0,9.4,15.1,5.0,11.4,0.6,1.0,0.9,5.5,8.4,5.7,5.9,9.6,98.8,87.3,101.3,103.9,32.1,25.9,0.0,0.0,0.0,0.0,30.6,16.4,2773.6,1368.0,4535.3,2594.8
05362,Rhein-Erft-Kreis,Landkreis,82.3,84.1,80.6,78.6,72.5,72.3,76.5,37.5,34.5,34.5,33.4,34.2,42.3,33.4,44.3,47.4,43.2,40.6,27.4,30.7,25.9,7.0,6.0,8.5,7.1,9.3,7.1,6.9,7.9,7.6,10.6,11.5,16.6,5.7,14.4,0.7,1.0,1.0,4.7,7.4,5.1,6.2,9.6,102.5,112.9,99.8,100.2,31.7,13.5,0.0,0.0,0.0,0.0,0.0,0.0,2809.0,1359.6,36.7,11.5
05366,Euskirchen,Landkreis,81.5,82.0,78.6,75.9,69.4,70.7,74.4,47.2,43.9,44.6,40.4,38.4,46.9,37.5,34.0,37.1,33.8,31.7,21.1,24.4,22.4,6.5,5.8,7.2,6.3,7.9,6.7,5.9,8.9,8.7,11.3,13.9,19.6,7.2,15.0,0.5,0.8,0.9,4.7,7.8,5.3,5.8,9.9,99.1,95.0,100.1,100.5,72.0,38.7,0.0,0.0,0.0,0.0,0.2,0.2,2292.5,1109.7,17.7,7.5
05370,Heinsberg,Landkreis,81.4,82.8,78.8,75.8,69.2,70.5,74.1,49.3,44.1,45.5,43.2,41.5,49.3,39.5,35.4,39.7,35.9,32.5,21.5,26.3,25.9,5.7,5.2,5.7,5.2,7.2,5.5,5.2,6.6,6.4,9.5,10.7,16.4,4.9,11.4,0.6,0.8,0.9,5.1,8.2,5.2,5.6,8.7,97.9,89.7,100.4,99.6,22.9,10.9,28.2,14.0,38.2,1.8,0.0,0.0,2521.8,1195.1,30.2,9.8
05374,Oberbergischer Kreis,Landkreis,81.4,83.6,80.1,76.4,70.0,71.1,74.4,43.8,39.8,41.7,39.8,38.3,45.3,36.5,38.2,41.1,38.4,34.2,24.0,27.0,22.6,6.5,6.0,7.1,6.7,8.6,6.9,6.4,8.1,7.9,9.3,11.6,16.8,5.7,13.8,0.7,0.9,1.0,4.5,7.5,5.4,6.4,10.6,96.7,89.3,99.5,97.1,129.5,87.0,0.0,0.0,0.0,0.0,0.2,0.2,2863.8,1207.3,39.6,15.5
05378,Rheinisch-Bergischer Kreis,Landkreis,84.3,85.9,83.6,82.0,76.6,77.5,79.4,41.3,37.2,38.0,37.0,35.5,43.7,35.6,35.0,38.8,36.3,33.6,23.3,26.1,21.0,8.5,8.1,10.6,8.8,11.3,9.0,9.0,11.4,11.1,11.9,14.1,19.1,7.0,16.7,0.9,1.1,1.1,4.1,6.6,5.1,6.4,8.0,103.7,114.2,100.0,103.4,46.4,17.3,0.0,0.0,0.0,0.0,0.2,0.0,2708.5,1244.2,71.9,36.1
05382,Rhein-Sieg-Kreis,Landkreis,83.3,85.0,82.2,79.8,73.4,74.4,78.5,43.5,40.1,40.7,39.3,36.3,44.4,34.8,34.6,37.9,35.0,32.6,21.9,25.7,21.2,8.1,7.3,9.6,8.2,10.5,8.4,8.1,10.1,10.2,11.7,13.4,20.4,7.3,16.1,0.9,1.1,0.9,3.9,6.3,5.1,6.8,9.4,100.5,108.4,100.0,95.1,45.8,22.1,0.0,0.0,0.0,0.0,0.8,0.3,2320.0,1062.1,477.3,273.8
05512,"Bottrop, Stadt",krsfr. Stadt,80.8,84.2,79.4,78.6,70.4,70.9,74.5,30.7,25.6,27.1,26.6,26.7,33.2,28.1,56.3,60.2,55.6,53.6,39.7,42.0,32.5,4.8,5.1,6.2,5.3,6.9,5.5,4.8,4.6,3.9,6.6,5.7,10.4,3.2,10.4,0.9,1.3,1.2,6.1,10.7,6.4,7.2,12.5,98.6,93.9,98.9,102.0,128.9,74.3,33.2,18.0,15.3,11.5,0.0,0.0,2129.3,1051.1,51.6,33.5
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,75.5,79.4,74.0,72.6,64.1,64.4,67.4,26.7,21.9,24.0,23.2,23.2,27.7,22.4,58.5,62.3,56.5,53.8,42.0,44.0,33.5,5.5,5.1,7.1,5.7,6.9,5.5,4.6,4.1,3.6,6.9,5.5,9.0,3.0,9.2,1.1,1.5,1.4,7.9,12.1,7.6,7.4,17.0,98.1,90.8,100.3,100.0,130.8,66.0,31.6,15.0,39.3,3.3,0.1,0.0,3505.9,1722.9,84.2,41.9
05515,"Münster, Stadt",krsfr. Stadt,84.2,86.2,83.9,82.3,77.1,78.5,81.8,37.9,35.2,34.3,35.6,33.7,37.8,32.8,33.6,36.4,36.2,35.3,23.7,27.2,20.9,14.6,13.6,15.6,13.4,17.2,15.2,14.6,10.9,11.2,11.3,10.3,14.7,6.8,13.5,1.4,1.5,1.4,4.0,6.7,6.3,10.1,4.9,103.4,115.7,99.5,102.2,18.9,12.9,0.0,0.0,0.0,0.0,663.5,407.4,2308.5,1127.8,1026.9,329.4
05554,Borken,Landkreis,81.1,84.2,81.6,79.8,73.0,74.4,77.6,52.0,45.8,47.9,49.3,45.4,53.4,46.9,33.4,38.5,33.9,30.5,21.9,25.7,21.4,5.6,5.9,6.1,5.1,7.3,5.8,5.7,6.9,6.8,9.9,9.9,16.5,5.2,13.1,0.5,0.6,0.7,3.3,5.4,3.8,4.4,6.1,98.2,88.8,101.1,100.1,73.3,49.1,0.0,0.0,0.0,0.0,0.1,0.1,2878.3,1318.0,56.2,22.2
05558,Coesfeld,Landkreis,83.7,86.3,83.8,82.0,76.5,77.7,80.6,49.8,44.4,44.7,44.8,42.6,50.2,43.9,31.9,37.2,34.2,31.6,22.0,25.7,21.1,7.6,6.8,7.8,7.0,9.2,8.0,7.4,8.2,8.0,10.8,11.0,16.6,5.6,13.6,0.6,0.8,0.7,3.6,6.0,4.2,5.4,6.2,98.9,92.3,101.7,98.7,94.4,81.3,0.0,0.0,0.0,0.0,0.0,0.0,2139.1,976.8,21.7,8.1
05562,Recklinghausen,Landkreis,80.3,83.8,79.0,77.3,70.7,70.7,73.4,33.0,27.4,28.7,28.7,29.1,34.7,29.6,52.4,56.9,52.6,50.3,35.9,39.6,31.3,5.7,5.4,7.1,5.6,7.6,5.9,5.3,5.1,4.8,7.6,6.5,11.1,3.5,10.5,0.9,1.3,1.2,6.1,10.9,6.4,6.8,12.3,98.3,90.8,99.7,102.0,60.9,36.7,52.0,22.8,61.8,5.6,0.0,0.0,2946.1,1363.5,74.5,27.5
05566,Steinfurt,Landkreis,81.8,85.0,82.1,79.9,73.5,74.6,77.4,41.8,37.8,38.7,39.2,37.8,45.4,39.8,40.7,45.0,41.6,39.0,28.4,31.4,25.9,7.3,6.3,7.3,6.4,9.0,7.4,7.1,7.8,7.4,10.0,9.8,14.6,4.9,11.9,0.6,0.7,0.8,3.6,6.4,4.6,6.1,6.5,97.3,91.9,100.1,96.1,31.4,16.6,0.0,0.0,0.0,0.0,0.6,0.3,2746.6,1214.2,54.5,23.1
05570,Warendorf,Landkreis,82.6,85.8,82.7,79.8,73.1,74.4,77.4,45.2,40.7,41.7,42.3,40.6,47.1,40.3,36.9,41.5,38.5,35.1,24.4,29.1,24.0,6.5,5.6,6.5,6.0,9.5,7.2,6.7,8.7,8.4,10.6,10.6,15.3,5.4,13.1,0.6,0.9,0.8,3.9,6.4,4.4,5.5,7.4,100.2,88.3,98.9,114.4,29.9,26.1,0.0,0.0,0.0,0.0,0.0,0.0,2679.8,1189.4,31.9,12.3
05711,"Bielefeld, Stadt",krsfr. Stadt,81.2,84.4,80.8,78.7,72.0,71.7,74.8,36.0,31.4,31.9,31.7,30.4,35.2,27.5,41.9,44.9,41.6,39.2,30.0,32.7,25.4,10.6,10.6,14.0,11.9,14.1,11.6,11.1,7.4,7.2,7.9,8.5,11.1,4.0,11.5,1.6,1.8,1.8,6.0,9.7,8.5,11.2,9.0,99.9,98.6,100.1,100.5,42.4,24.1,21.2,10.4,114.6,25.9,352.6,160.3,4009.4,1726.0,488.4,245.9
05754,Gütersloh,Landkreis,80.7,84.2,81.1,78.7,71.6,71.8,75.0,44.4,39.7,41.6,41.9,38.9,46.4,38.2,36.0,40.9,37.2,34.3,25.4,28.5,22.8,8.0,6.7,8.2,6.8,9.7,7.9,7.9,8.6,8.0,9.6,10.2,14.9,4.9,13.1,0.8,1.0,0.9,4.1,6.5,5.0,6.1,8.7,98.8,97.2,100.0,97.7,27.9,18.4,0.0,0.0,0.0,0.0,0.0,0.0,2214.4,1020.1,84.0,29.9
05758,Herford,Landkreis,81.1,83.9,80.3,77.6,70.1,70.3,73.1,37.7,33.9,35.2,35.1,32.2,38.9,31.4,45.7,48.9,45.4,41.1,33.3,35.3,29.0,6.3,5.6,7.2,6.7,8.7,7.6,6.9,6.9,6.4,8.5,9.3,13.4,4.1,11.3,0.8,1.0,1.0,5.0,7.9,5.9,7.0,10.9,98.7,87.8,100.7,104.4,25.1,19.9,67.6,32.2,22.9,5.4,0.0,0.0,3427.9,1488.0,38.7,17.8
05762,Höxter,Landkreis,82.7,84.9,82.1,79.1,72.7,72.8,75.9,52.9,48.5,51.8,49.2,43.4,51.7,42.4,31.9,35.6,31.6,28.2,23.6,25.6,22.1,5.8,4.1,5.1,4.6,6.3,5.5,5.4,6.6,7.2,8.4,11.3,16.4,5.0,12.7,0.5,0.7,0.7,3.7,6.1,4.5,5.6,8.9,95.5,82.1,99.9,98.3,112.0,70.7,52.6,18.7,48.0,23.8,0.0,0.0,2792.5,1266.7,32.0,11.5
05766,Lippe,Landkreis,81.3,84.1,81.7,78.4,71.9,71.8,74.5,38.1,32.7,34.2,33.2,31.7,39.1,31.4,43.3,48.5,44.9,42.2,34.8,34.9,27.8,7.3,6.1,7.8,6.9,8.4,7.6,7.2,7.7,7.7,9.0,9.8,13.1,4.6,12.3,0.9,1.1,1.0,4.5,7.2,5.4,6.9,10.8,96.1,89.8,99.6,94.2,72.8,51.0,36.0,16.4,52.7,26.3,0.9,0.6,3104.6,1303.6,133.9,82.1
05770,Minden-Lübbecke,Landkreis,79.6,82.7,79.5,76.7,69.4,69.7,73.1,37.2,33.7,35.1,35.0,35.4,41.1,32.9,44.7,48.4,44.7,40.7,32.2,34.1,29.0,6.9,5.6,7.1,6.3,8.0,7.3,6.5,7.9,7.2,9.2,9.7,12.7,4.6,11.5,0.7,1.0,0.9,4.9,7.2,5.0,6.4,10.6,95.4,87.0,99.9,93.2,34.4,23.3,0.0,0.0,0.0,0.0,0.4,0.3,3260.9,1362.2,46.4,30.3
05774,Paderborn,Landkreis,80.2,83.0,80.1,77.2,69.8,70.2,74.4,53.2,49.8,52.2,50.3,43.2,51.4,40.8,29.4,32.6,29.1,27.3,20.4,23.2,18.7,6.9,5.5,6.6,5.7,8.6,7.2,7.4,7.2,7.3,8.5,10.1,17.0,5.0,13.4,0.7,0.8,0.8,3.7,6.0,5.3,6.7,9.9,97.0,87.4,100.1,98.7,69.6,36.9,0.0,0.0,0.0,0.0,97.4,50.5,3208.4,1498.7,352.2,215.7
05911,"Bochum, Stadt",krsfr. Stadt,80.7,83.9,79.7,77.9,70.3,71.4,74.7,28.3,23.6,24.8,24.4,24.2,29.8,24.9,55.0,58.3,53.4,50.2,37.1,39.7,30.7,7.5,8.0,10.3,8.9,11.4,9.2,8.4,4.9,4.7,7.0,6.4,10.4,3.6,10.7,1.3,1.5,1.8,7.1,11.3,8.0,10.1,10.5,99.9,94.9,99.8,104.5,41.2,30.1,19.1,14.9,322.7,188.6,417.1,306.5,3398.3,1595.6,576.3,274.2
