,,Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Langname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Berechnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Einheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anmerkungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quelle,von INKAR,von INKAR,von INKAR,,,,,,,,,,,,,,von INKAR,,,,,,,,von INKAR,,,,,,,,,,,,,,,
,,Standardisierung,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennziffer,Raumeinheit,Aggregat,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche
,,,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018
03103,"Wolfsburg, Stadt",krsfr. Stadt,78092.0000,78838.0000,79379.0000,79379.0000,79615.0000,80214.0000,79669.0000,79348.0000,62575.0000,63235.2941,64346.9388,65333.3333,66191.4894,66980.0000,67510.2041,67000.0000,45776.0000,47747.0000,48570.0000,49274.0000,50110.0000,50883.0000,51112.0000,51907.0000,120889.0000,121307.0000,122088.0000,122595.0000,123312.0000,124053.0000,123908.0000,123851.0000,204.0800,204.0800,204.0800,204.0800,204.0800,204.0800,204.0800,204.0800
03151,Gifhorn,Landkreis,113869.0000,114152.0000,114377.0000,114377.0000,114782.0000,115768.0000,115334.0000,114963.0000,89761.0000,90867.9245,90346.1538,91979.5918,94652.1739,94170.2128,93829.7872,95045.4545,63249.0000,65554.0000,66630.0000,68443.0000,69595.0000,69956.0000,70398.0000,71553.0000,170865.0000,170940.0000,170930.0000,171955.0000,173081.0000,174254.0000,175044.0000,175606.0000,1562.8500,1562.8500,1562.8500,1562.8500,1562.8500,1562.8500,1562.8500,1562.8500
03152,Göttingen,Landkreis,166991.0000,167262.0000,167400.0000,167400.0000,168304.0000,172265.0000,169760.0000,169278.0400,126331.0000,126606.5574,128308.8235,129603.1746,129442.6230,131274.0000,131938.9831,133243.1579,82971.0000,85401.0000,86019.0000,87670.0000,89303.0000,91603.0000,92839.5000,94174.8600,248025.0000,247623.0000,247530.0000,248423.0000,251689.0000,251207.8800,252094.1500,252181.1600,1117.2400,1117.2400,1117.2400,1117.2400,1117.2400,1117.2400,1117.2400,1117.2400
03153,Goslar,Landkreis,86882.0000,86414.0000,86012.0000,86012.0000,85527.0000,86084.0000,85626.0000,85190.0000,67369.0000,67340.6593,68125.0000,68174.4186,67772.1519,68131.5789,68380.2817,68500.0000,43066.0000,44172.0000,44239.0000,44837.0000,45769.0000,46368.0000,47257.0000,48047.0000,139575.0000,138979.0000,138044.0000,137455.0000,137023.0000,138119.0000,137690.0000,137196.0000,965.3000,965.3000,965.3000,965.3000,965.3000,965.3000,965.3000,965.3000
03154,Helmstedt,Landkreis,58711.0000,58545.0000,58586.0000,58586.0000,58835.0000,59158.0000,59227.0000,58643.0000,46882.0000,46453.3333,47093.3333,47763.8889,48357.1429,48632.3529,49173.9130,49903.2258,31680.0000,32868.0000,33564.0000,34125.0000,35124.0000,35871.0000,36138.0000,36776.0000,90919.0000,90601.0000,90502.0000,90520.0000,91024.0000,92043.0000,91714.0000,91470.0000,674.0100,674.0100,674.0100,674.0100,674.0100,674.0100,674.0100,674.0100
03155,Northeim,Landkreis,86605.0000,86171.0000,85623.0000,85623.0000,84872.0000,85317.0000,84016.0000,83192.0000,69861.0000,69521.1268,69561.6438,69768.1159,70029.8507,69709.6774,70068.9655,70425.9259,46631.0000,47917.0000,47985.0000,48518.0000,48900.0000,49610.0000,50149.0000,50879.0000,136516.0000,135932.0000,134950.0000,134190.0000,133722.0000,134086.0000,133222.0000,132792.0000,1267.0600,1267.0600,1267.0600,1267.0600,1267.0600,1267.0600,1267.0600,1267.0600
03156,Osterode am Harz,Landkreis,46758.0000,46125.0000,45587.0000,45587.0000,45049.0000,45048.0000,44492.0000,44997.9600,38166.0000,38183.9080,37871.7949,36881.5789,36593.7500,37026.0000,37213.5593,37581.4035,24003.0000,24694.0000,24830.0000,25102.0000,25507.0000,25884.0000,26185.5000,26562.1400,76172.0000,75688.0000,74897.0000,74086.0000,73572.0000,75036.1200,75300.8500,75326.8400,636.0300,636.0300,636.0300,636.0300,636.0300,636.0300,636.0300,636.0300
03157,Peine,Landkreis,84044.0000,84100.0000,84348.0000,84348.0000,84585.0000,85720.0000,85826.0000,85845.0000,67899.0000,68550.0000,69216.6667,68557.3770,69814.8148,69714.2857,70320.7547,71354.1667,45978.0000,47469.0000,48039.0000,48920.0000,50038.0000,50711.0000,51827.0000,53183.0000,130165.0000,130114.0000,129990.0000,130284.0000,131055.0000,132803.0000,133060.0000,133862.0000,534.9200,534.9200,534.9200,534.9200,534.9200,534.9200,534.9200,534.9200
03158,Wolfenbüttel,Landkreis,77394.0000,77220.0000,77254.0000,77254.0000,77280.0000,77875.0000,77596.0000,76984.0000,61111.0000,60968.2540,61145.1613,61400.0000,61298.2456,62400.0000,62145.4545,63122.4490,40353.0000,41769.0000,42156.0000,42869.0000,43615.0000,44247.0000,45168.0000,46106.0000,120425.0000,120213.0000,119847.0000,120012.0000,120138.0000,121115.0000,120672.0000,120048.0000,722.5400,722.5400,722.5400,722.5400,722.5400,722.5400,722.5400,722.5400
03241,Region Hannover,Landkreis,724859.0000,730592.0000,735544.0000,735544.0000,740236.0000,752204.0000,752000.0000,752364.0000,575392.0000,579646.3415,588280.4878,601060.9756,608128.2051,610000.0000,613661.9718,622378.7879,383251.0000,396573.0000,401736.0000,410085.0000,419299.0000,426228.0000,435799.0000,445015.0000,1106219.0000,1108259.0000,1114713.0000,1122409.0000,1132474.0000,1146225.0000,1149594.0000,1154625.0000,2290.8100,2290.8100,2290.8100,2290.8100,2290.8100,2290.8100,2290.8100,2290.8100
