Kennziffer,Raumeinheit,Aggregat
12051,"Brandenburg an der Havel, Stadt",krsfr. Stadt
12052,"Cottbus, Stadt",krsfr. Stadt
12053,"Frankfurt (Oder), Stadt",krsfr. Stadt
12054,"Potsdam, Stadt",krsfr. Stadt
12060,Barnim,Landkreis
12061,Dahme-Spreewald,Landkreis
12062,Elbe-Elster,Landkreis
12063,Havelland,Landkreis
12064,Märkisch-Oderland,Landkreis
12065,Oberhavel,Landkreis
12066,Oberspreewald-Lausitz,Landkreis
12067,Oder-Spree,Landkreis
12068,Ostprignitz-Ruppin,Landkreis
12069,Potsdam-Mittelmark,Landkreis
12070,Prignitz,Landkreis
12071,Spree-Neiße,Landkreis
12072,Teltow-Fläming,Landkreis
12073,Uckermark,Landkreis
13003,"Rostock, Stadt",krsfr. Stadt
13004,"Schwerin, Stadt",krsfr. Stadt
13071,Mecklenburgische Seenplatte,Landkreis
13072,Landkreis Rostock,Landkreis
13073,Vorpommern-Rügen,Landkreis
13074,Nordwestmecklenburg,Landkreis
13075,Vorpommern-Greifswald,Landkreis
13076,Ludwigslust-Parchim,Landkreis
14511,"Chemnitz, Stadt",krsfr. Stadt
14521,Erzgebirgskreis,Landkreis
14522,Mittelsachsen,Landkreis
14523,Vogtlandkreis,Landkreis
14524,Zwickau,Landkreis
14612,"Dresden, Stadt",krsfr. Stadt
14625,Bautzen,Landkreis
14626,Görlitz,Landkreis
14627,Meißen,Landkreis
14628,Sächsische Schweiz-Osterzgebirge,Landkreis
14713,"Leipzig, Stadt",krsfr. Stadt
14729,Leipzig,Landkreis
14730,Nordsachsen,Landkreis
15001,"Dessau-Roßlau, Stadt",krsfr. Stadt
15002,"Halle (Saale), Stadt",krsfr. Stadt
15003,"Magdeburg, Stadt",krsfr. Stadt
15081,Altmarkkreis Salzwedel,Landkreis
15082,Anhalt-Bitterfeld,Landkreis
15083,Börde,Landkreis
15084,Burgenlandkreis,Landkreis
15085,Harz,Landkreis
15086,Jerichower Land,Landkreis
15087,Mansfeld-Südharz,Landkreis
15088,Saalekreis,Landkreis
15089,Salzlandkreis,Landkreis
15090,Stendal,Landkreis
15091,Wittenberg,Landkreis
16051,"Erfurt, Stadt",krsfr. Stadt
16052,"Gera, Stadt",krsfr. Stadt
16053,"Jena, Stadt",krsfr. Stadt
16054,"Suhl, Stadt",krsfr. Stadt
16055,"Weimar, Stadt",krsfr. Stadt
16056,"Eisenach, Stadt",krsfr. Stadt
16061,Eichsfeld,Landkreis
16062,Nordhausen,Landkreis
16063,Wartburgkreis,Landkreis
16064,Unstrut-Hainich-Kreis,Landkreis
16065,Kyffhäuserkreis,Landkreis
16066,Schmalkalden-Meiningen,Landkreis
16067,Gotha,Landkreis
16068,Sömmerda,Landkreis
16069,Hildburghausen,Landkreis
16070,Ilm-Kreis,Landkreis
16071,Weimarer Land,Landkreis
16072,Sonneberg,Landkreis
16073,Saalfeld-Rudolstadt,Landkreis
16074,Saale-Holzland-Kreis,Landkreis
16075,Saale-Orla-Kreis,Landkreis
16076,Greiz,Landkreis
16077,Altenburger Land,Landkreis
