Kennziffer,Raumeinheit,Aggregat,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Fläche
03351,Celle,Landkreis,112146.0000,112088.0000,111819.0000,111993.0000,112979.0000,112632.0000,112238.0000,176054.0000,175706.0000,175552.0000,176157.0000,177971.0000,178370.0000,178764.0000,86576.0000,87304.0000,88280.0000,88979.0000,89853.0000,56968.0000,58501.0000,59970.0000,61240.0000,62394.0000,1545.2100
03352,Cuxhaven,Landkreis,125093.0000,124823.0000,124016.0000,123756.0000,124206.0000,123668.0000,122554.0000,198115.0000,197433.0000,196607.0000,196787.0000,198103.0000,198670.0000,198100.0000,98135.0000,98257.0000,98919.0000,100356.0000,100826.0000,64136.0000,65506.0000,66507.0000,67534.0000,68693.0000,2057.8000
03353,Harburg,Landkreis,153440.0000,154371.0000,155878.0000,157111.0000,159085.0000,159781.0000,160091.0000,239269.0000,240548.0000,242871.0000,245199.0000,248122.0000,250326.0000,251511.0000,125313.0000,126472.0000,129854.0000,131103.0000,133060.0000,85811.0000,88240.0000,90784.0000,93036.0000,94840.0000,1244.9700
03354,Lüchow-Dannenberg,Landkreis,30227.0000,30126.0000,29891.0000,29788.0000,30796.0000,29669.0000,29155.0000,49082.0000,48928.0000,48670.0000,48728.0000,50128.0000,48825.0000,48357.0000,21375.0000,21594.0000,21991.0000,22016.0000,22129.0000,13759.0000,14082.0000,14402.0000,14691.0000,15258.0000,1220.6900
03355,Lüneburg,Landkreis,116088.0000,117010.0000,117667.0000,118498.0000,120285.0000,120359.0000,120835.0000,174685.0000,175640.0000,176727.0000,178122.0000,180719.0000,181605.0000,182930.0000,89061.0000,89723.0000,90758.0000,92758.0000,94020.0000,59020.0000,60478.0000,62041.0000,63567.0000,64575.0000,1323.6400
03356,Osterholz,Landkreis,71501.0000,71628.0000,71525.0000,71608.0000,72750.0000,71605.0000,71496.0000,110842.0000,110816.0000,110882.0000,111484.0000,113579.0000,112695.0000,113105.0000,57242.0000,57322.0000,58244.0000,58439.0000,58828.0000,38809.0000,39702.0000,40508.0000,41151.0000,41989.0000,650.8000
03357,Rotenburg (Wümme),Landkreis,106502.0000,106450.0000,106359.0000,106460.0000,107431.0000,107393.0000,106863.0000,162182.0000,161780.0000,161308.0000,161842.0000,163253.0000,163372.0000,163377.0000,85224.0000,85809.0000,86400.0000,86930.0000,87770.0000,57223.0000,58531.0000,60222.0000,61466.0000,62453.0000,2070.3900
03358,Heidekreis,Landkreis,87113.0000,87215.0000,87747.0000,87628.0000,90600.0000,89775.0000,89211.0000,136072.0000,135772.0000,136251.0000,136200.0000,140264.0000,139641.0000,139099.0000,71102.0000,71767.0000,72456.0000,72768.0000,73042.0000,46909.0000,47854.0000,48780.0000,49553.0000,50391.0000,1873.6900
03359,Stade,Landkreis,128018.0000,128313.0000,128838.0000,129020.0000,130645.0000,130763.0000,130135.0000,195606.0000,195779.0000,196516.0000,197448.0000,200054.0000,201638.0000,201887.0000,103323.0000,104995.0000,106705.0000,107714.0000,108590.0000,70326.0000,71847.0000,73525.0000,74542.0000,76151.0000,1266.0300
03360,Uelzen,Landkreis,58602.0000,58561.0000,58422.0000,58492.0000,58820.0000,58509.0000,58121.0000,93284.0000,92801.0000,92356.0000,92533.0000,93131.0000,92961.0000,92744.0000,44523.0000,44904.0000,45028.0000,45464.0000,45945.0000,29319.0000,29943.0000,30633.0000,31244.0000,31848.0000,1454.1800
