Kennziffer,Raumeinheit,Aggregat,Verfgb. Ausbildungsstellen je 100 Bewerber,Verfgb. Ausbildungsstellen je 100 Bewerber (2012=100),"Entwicklung Erwerbsfähige (20-u.65 Jahre), (2015 = 100)",Durchschnittsalter Erwerbsfähige (20-u.65 Jahre) in Jahren,Durchschnittsalter Erwerbsfähige (20-u.65 Jahre) in Jahren,Entwicklung Durchschnittsalter Erwerbsfähige (20-u.65 Jahre) (2015 = 100),Ersatzquote (15-u.20-Jährige je 100 60-u.65-jährige Erwerbsfähige),Ersatzquote (15-u.20-Jährige je 100 60-u.65-jährige Erwerbsfähige),Entwicklung  Ersatzquote (2015 = 100),Alte Erwerbsfähige (50-u.65) je 100 junge Erwerbsfähige (20-u.30),Alte Erwerbsfähige (50-u.65) je 100 junge Erwerbsfähige (20-u.30),Entwicklung Alte Erwerbsfähige (50-u.65) je 100 junge Erwerbsfähige (20-u.30),Junge (unter 20-Jährige) und alte Einwohner (65 und älter) je 100 Einwohner,Junge (unter 20-Jährige) und alte Einwohner (65 und älter) je 100 Einwohner,Entwicklung Junge (unter 20-Jährige) und alte Einwohner (65 und älter) je 100 Einwohner,Junge (u. 20) und alte Einwohner (65+) je 100 Erwerbsfähige (15-64),Junge (u. 20) und alte Einwohner (65+) je 100 Erwerbsfähige (15-64),Entwicklung Junge (u. 20) und alte Einwohner (65+) je 100 Erwerbsfähige (15-64),JungeEinwohner  (u. 20) je 100 Einwohner,JungeEinwohner  (u. 20) je 100 Einwohner,Entwicklung JungeEinwohner  (u. 20) je 100 Einwohner,Alte Einwohner (65+) je 100 Einwohner,Alte Einwohner (65+) je 100 Einwohner,Entwicklung Alte Einwohner (65+) je 100 Einwohner,Regionales Bevölkerungspotenzial (von BBSR),Regionales Bevölkerungspotenzial (von BBSR),Entwicklung Regionales Bevölkerungspotenzial (von BBSR),Erreichbarkeit Agglomerationsräume PKW/Schiene,Erreichbarkeit Agglomerationsräume PKW/Schiene,Entwicklung Erreichbarkeit Agglomerationsräume PKW/Schiene,Hochrangige Verkehrsinfrastruktureinrichtungen (BBSR),Hochrangige Verkehrsinfrastruktureinrichtungen (BBSR),Entwicklung Hochrangige Verkehrsinfrastruktureinrichtungen (BBSR),Haushalte Breitband 50Mbit/s BBSR,Haushalte Breitband 50Mbit/s BBSR,Entwicklung Haushalte Breitband 50Mbit/s BBSR,Haushalte Breitband 100Mbit/s BBSR,Personaleinsatz Wissenstransfereinrichtungen BBSR
,,,2016,2012-16,2015-35,2015,2035,2015-35,2015,2035,2014-35,2015,2035,2015-35,2015,2035,2015-35,2015,2035,2015-35,2015,2035,2015-35,2015,2035,2015-35,1990,2015,1990-2015,2012,2017,2012-17,2012,2017,2012-17,2014,2017,2014-17,2017,2017
022,Nienburg,Arbeitsmarktregion,99.43246311,97.67363416,86.64329151,44.36250205,44.41514385,100.1186628,86.58762505,68.64004109,79.27234528,218.8637406,233.5957489,106.7311324,40.15949382,47.83110671,119.1028625,61.23114605,84.54194301,138.0701628,18.49013614,16.45225136,88.97853018,21.66935768,31.37885535,144.8075011,203406.7952,215727.1071,106.0569815,47,47,100,103.7267227,103.7267227,100,73.77589958,79.52431748,107.7917286,48.84996167,66.14471492
023,Stadthagen,Arbeitsmarktregion,103.875969,104.5461365,80.81379802,44.90935021,44.34314509,98.73922666,84.2039442,67.4532835,80.10703553,240.2621232,225.0560585,93.67105205,42.17345644,50.76367487,120.3687797,66.45043399,94.84203985,142.7259901,17.66263554,15.83013156,89.62496858,24.51082089,34.93354332,142.5229431,342022.0803,352093.6871,102.9447241,76.71488194,74.03274304,96.50375672,72.43925671,72.43925671,100,56.52065769,73.03281776,129.2143806,52.66295243,66.14471492
024,Celle,Arbeitsmarktregion,102.0328382,103.4865562,82.35166504,44.44405822,44.14429064,99.32551709,82.62985651,73.11419343,88.48398934,219.3375893,214.1054809,97.61458649,42.19008312,49.84806447,118.1511407,66.52135615,91.00736777,136.809249,18.9940599,17.07983521,89.92198245,23.19602321,32.76822926,141.2665825,223102.7203,237773.6755,106.5758746,54,52,96.2962963,77.70253184,77.70253184,100,55.60305236,84.59529412,152.1414572,51.86941176,0.060892875
025,Lüneburg,Arbeitsmarktregion,103.5259549,100.7709142,92.1619278,43.30471909,43.37174154,100.1547694,96.89694439,69.18470357,71.40029441,175.6495414,181.1721992,103.1441345,38.6748094,45.3855058,117.3515953,57.68832557,76.93915914,133.3704149,19.22013367,16.66161818,86.68835747,19.45467573,28.72388762,147.6451626,243937.3553,283640.0768,116.2757858,48,47,97.91666667,75.07513551,75.07331493,99.99757499,60.68151099,71.46403445,117.7690425,57.59311984,9.989509973
026,Zeven,Arbeitsmarktregion,102.5225225,102.1833248,85.32613753,44.16526059,43.94838241,99.50893942,96.21538756,75.12289157,78.07783502,205.9710595,206.035078,100.0310813,40.48108401,49.07504535,121.2295732,61.61663466,88.05190204,142.9028095,20.00455362,17.95670793,89.76310227,20.47653039,31.11833743,151.9707531,194722.146,217131.9607,111.5086112,54.56363797,55.13433406,101.0459275,108.6482484,107.7140311,99.14014514,58.87374101,61.71978493,104.8341482,37.99449336,2.349682497
027,Soltau,Arbeitsmarktregion,101.9211325,99.72815727,83.94446826,44.41969082,44.11953044,99.32426279,91.55821721,75.56906209,82.53662467,218.764829,211.3086589,96.59169611,41.56172398,49.70878187,119.6023098,64.64082699,90.24604328,139.6115234,19.17337833,17.73295562,92.48738178,22.38834565,31.97582625,142.8235331,158202.2136,174771.6962,110.4736098,59.05745278,59.05745279,100,86.50656074,86.50656074,100,63.69182313,73.7040094,115.7197357,63.32021206,0.060892875
028,Stade,Arbeitsmarktregion,102.4553571,101.9056302,90.39791951,44.00207039,44.15631372,100.3505365,94.3124899,76.44960534,81.05989506,207.3846298,219.7016919,105.9392357,40.38054332,47.79127983,118.3522457,61.67121356,83.69026745,135.7039413,19.54800446,18.40713557,94.16375778,20.83253886,29.38414427,141.0492713,365120.2713,410249.9117,112.3602122,71.79174395,69.79174395,97.21416435,124.6317232,123.4976658,99.09007319,66.33880617,76.45802735,115.2538488,64.8906805,2.349682497
029,Uelzen,Arbeitsmarktregion,103.5236938,98.45544406,80.13397057,45.27129668,45.06029868,99.53392542,77.30410069,59.04295813,76.37752409,257.02429,255.4014963,99.36862244,43.10175008,51.1989794,118.7863122,69.14639034,96.69605113,139.8425148,17.30450795,15.12112022,87.38254946,25.79724213,36.07785918,139.8516128,106838.5982,111927.0435,104.7627406,72.36834674,71.07342218,98.21064787,162.2852165,163.5836177,100.8000736,49.86690456,58.84142477,117.9969466,48.12326587,9.989509973
030,Verden,Arbeitsmarktregion,99.48293692,99.3774407,85.82743989,44.58918606,44.05513274,98.80228062,87.73082588,78.05056797,88.96595603,228.0249573,213.8061674,93.76437121,41.39456372,49.68187438,120.0202875,64.23626541,90.10910881,140.277627,19.6509446,18.32539276,93.25451334,21.74361911,31.35648162,144.2100391,264143.2642,287451.5155,108.8240945,43.97563219,45.54295779,103.5640775,44.06880634,44.06880634,100,61.94136487,69.63934426,112.4278492,62.75737705,0.495630294
031,Emden,Arbeitsmarktregion,104.9642005,95.16209615,84.84511209,44.10267697,44.11982786,100.0388885,90.44634378,68.97314376,76.25863123,200.6049675,209.8896901,104.6283613,41.3924871,49.42169067,119.3977316,64.05553964,89.45007438,139.6445567,19.31713927,17.38566512,90.00124125,22.07534783,32.03602555,145.1212719,144523.1031,155939.2959,107.8992165,135.3515645,135.9568695,100.4472095,131.062145,131.0323811,99.97729025,68.74430456,73.62168407,107.094958,64.98323175,8.527915233
